Категория,Рекомендуемый ассет,Источник,Лицензия/условия,Роль в сцене,Примечание
Стол/PBR,Wood Table 001,https://polyhaven.com/a/wood_table_001,CC0,Основная столешница,"16K PBR; в Blender поднять roughness до ~0.58–0.70, Coat почти 0"
Стол/PBR альтернатива,Wood Table,https://polyhaven.com/a/wood_table,CC0,Более грубая тёплая сосна,"4K–8K; хорошо работает при roughness 0.60–0.75"
Круассан,Croissant,https://polyhaven.com/a/croissant,CC0,Левый foreground prop,"8K скан, ~2K tris; масштабировать до 0.16–0.18 м"
Тарелка,Ceramic Plate,https://www.blenderkit.com/asset-gallery-detail/b3b98e3c-b97a-4290-acca-7e2de1067c0e/,BlenderKit Royalty-Free/CC0 по лицензии конкретного ассета; коммерческое использование разрешено,Левый foreground prop,"Бесплатный ассет; 416 faces; материал сделать белым, roughness ~0.22–0.30"
Тарелка альтернатива,White Plate Shallow,https://www.blenderkit.com/asset-gallery-detail/c9f45eb7-013a-4811-9331-3722a4395d73/,BlenderKit Royalty-Free/CC0 по лицензии конкретного ассета; коммерческое использование разрешено,Левый foreground prop,"Бесплатный low-poly; 266 полигонов"
Блокнот,Black Notebook,https://www.blenderkit.com/asset-gallery-detail/ae0f9c70-62ff-43be-91e6-92dc249a86f4/,BlenderKit Royalty-Free/CC0 по лицензии конкретного ассета; коммерческое использование разрешено,Передний левый план,"708 KiB; 11.5K polys; размывается DOF"
Блокнот альтернатива,Notebook black leather and Pen,https://www.blenderkit.com/asset-gallery-detail/0e38f001-5329-4e80-8967-f06f80c77a43/,BlenderKit Royalty-Free/CC0 по лицензии конкретного ассета; коммерческое использование разрешено,Передний левый план,"1.7K polys; PBR; очень лёгкий"
Ваза,Ceramic Vase 04,https://polyhaven.com/a/ceramic_vase_04,CC0,Опциональный левый prop,"2K tris; при необходимости перекрасить в бело-серый"
Мелкие белые цветы,Flower Heliophila,https://polyhaven.com/a/flower_heliophila,CC0,Опциональный bouquet,"Белые мелкие цветы; 325K tris — использовать ограниченное число веток/LOD"
Растение альтернатива,Potted Plant 04,https://polyhaven.com/a/potted_plant_04,CC0,Левый вторичный prop,"6K tris; можно использовать вместо букета"
Мешалка/сахар,Take Away Coffee Cup Set,https://sketchfab.com/3d-models/take-away-coffee-cup-set-2b7a38b71d78439b81e329c5540197ea,CC BY,Извлечь деревянную мешалку,"Требует указания автора Wendy.H.L при распространении/публикации по CC BY"
Мешалка альтернатива,Coffee Cup with stirrer,https://www.blenderkit.com/asset-gallery-detail/0b24bb1a-fe8e-48f7-99e8-ec7a0a425319/,BlenderKit Royalty-Free/CC0 по лицензии конкретного ассета; коммерческое использование разрешено,Извлечь stirrer,"Бесплатный, очень лёгкий; 2134 faces"
HDRI/свет,Comfy Café,https://polyhaven.com/a/comfy_cafe,CC0,"Только освещение и отражения","16K HDRI + backplates; 2850K WB; strength ~0.20–0.35"
HDRI альтернатива,Decor Shop,https://polyhaven.com/a/decor_shop,CC0,"Свет/отражения, чуть нейтральнее","16K HDRI + backplates; 3500K WB"
HDRI альтернатива,Boma,https://polyhaven.com/a/boma,CC0,"Более дневной fill","24K HDRI; 5303K WB; использовать слабее, ~0.10–0.22"
Backplate,Generated cafe backplate,Файл cafe_backplate_4x5_2244x2804.png в этом пакете,Сгенерировано для этой задачи,Видимый интерьер кофейни,"4:5, повышенный вертикальный запас; не содержит стакана/текста/foreground-стола"
